Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
38250,577089,524458,52602,95419,125037,35306,58306,782919222,286524,169714,25409,845540361,125603,962403518,71499,777901828,101638,416357065,22059,368165950,199586831
38500,563101,530577,53537,95391,124533,37781,56124,786987526,293746,166058,25372,850878497,122335,967940522,61875,783595116,102015,418438925,22933,370749123,201461439
38750,632173,517454,53836,95764,125943,41281,54490,790573546,297954,175107,25062,857303199,120211,973414384,59874,788236097,101495,421608163,23631,373274576,202678954
39000,595041,543607,53737,94225,128459,38300,54777,795081521,295407,164915,25002,862486855,126206,977780589,60218,792747182,105626,424167307,21643,376175365,204110765
39250,571741,546926,53342,96442,125190,39476,49523,799110226,338313,166005,25055,867341154,118790,983208287,58383,797262469,100599,426999699,23504,378588963,205371120
39500,572463,537468,54416,92600,121701,39881,53531,803556147,305131,176043,25025,873126181,124515,987547140,60753,802981850,99242,429757281,22751,381136743,206674066
39750,583408,617778,53174,97748,121774,41696,58078,807693393,285180,171950,24963,878912719,124580,993830678,59446,808266232,106974,432325795,21965,384230798,207948437
40000,589000,540790,53210,95189,125968,38603,54653,812101441,287985,177731,26083,884551939,121640,1000511679,60088,812888938,99467,436271017,21631,386452007,209100490
40250,587237,536187,54774,99528,130969,45435,53050,816570655,311398,171397,24224,889814550,128124,1006802048,59409,818358522,182069,437768401,22967,389176315,210556179
40500,644345,542261,54100,95686,121557,40792,53138,820698818,296234,180199,24041,895469054,119715,1012264756,62180,823231085,115519,440720638,23401,391897882,211997091
40750,587102,537645,54891,92882,124649,43760,61072,826209119,289405,175666,24305,900308752,117214,1017787930,65333,828572323,103983,442892108,22814,395477726,212975591
41000,585654,559203,55885,95703,124492,35430,54960,830129399,293444,173693,24039,906204227,120089,1022294176,62026,833277671,99856,446180005,20916,396981791,214580185
41250,580628,548700,53530,94813,128573,34581,51673,834629418,294353,172633,24930,911544696,121593,1027212875,57204,837992442,101709,448686085,23443,399665506,215946834
41500,579687,592243,53462,93888,128342,40253,60537,839465048,294033,171003,25125,917008799,119981,1032426446,63797,843335944,102646,451193237,24150,401682044,217506347
41750,586017,532207,54224,97401,131293,35866,57805,843341210,295192,177451,25249,922175662,123265,1038653745,59277,848349795,102430,454296297,22013,404183924,218360435
42000,645431,558665,54861,95873,127328,34276,54285,847726004,293746,168980,25077,927586424,121188,1045138141,59035,853717975,104959,456797319,22704,407123009,219881936
42250,595535,541722,53377,92657,121888,33759,53034,851749524,8865876,170948,21183,932681475,116010,1051713079,57978,859161704,105335,460147703,22199,409854007,221162044
42500,591336,525333,53373,97302,193565,76961,54249,856142920,242177,159618,18528,938023504,170283,1057035921,63359,863991061,107444,462221056,23625,411672729,227336640
42750,592544,543827,53870,141794,151090,35634,57655,860509881,243363,162598,18529,943722436,126780,1062388657,61255,869148167,114670,465150937,23955,415083825,223983769
43000,592817,613354,52456,95986,133511,37157,59129,865119056,238691,170181,18589,948920145,123170,1067556799,60661,873917990,100022,467453400,22346,418126538,224816266
43250,595226,540830,51923,96070,130257,38403,52195,869716184,241080,160581,18498,954470803,123313,1072812791,58801,878746203,107171,470500389,22290,419926086,226616247
43500,656939,535694,50555,95554,125105,33836,52292,873939272,237203,175545,18550,960132926,117415,1077431979,56102,883398159,100831,473100538,22499,422962579,227890891
43750,602174,553254,50742,92743,127495,36010,54586,878436637,240731,168559,18528,965431995,118792,1083781096,54349,888751677,102120,475860965,22411,425530782,229180409
44000,593453,549953,51400,96679,124220,36375,55156,882870380,243881,169974,18535,970450922,120398,1090967529,60355,892949399,104509,478406196,24137,427915147,230261123
44250,589341,545498,50590,95288,120563,35923,59439,888101756,240821,176793,18545,976438587,116588,1096253432,60971,899024318,101237,481163299,22686,431455021,231656705
